Для сетки:
col		- колонка
col_left	- колонка лiва
col_right	- колонка права
wraper		- обгортка
container	- контейнер
block		- блок
bar		- полоса
place		- мiсце
box		- короб, ящик
panel		- панель

Для гуртування частин:
group		- група
item		- один член групи
menu		- меню
navigation	- навiгацiя
slider		- блок для галереi
slide		- один член галереi
info		- блок для iнформацii
tabs		- блок для табiв
tab		- один член табiв
icon_назва	- iконка
logo		- логотип
media		- блок медiйноi iнформацii
list		- блок для спискiв
control		- якась частина керування, абло блок керування
